tag,SA3M_count,SAO1_count,SA3M_per100,SAO1_per100,delta_per100
wrong_source,29,13,14.5,6.5,+8.0
missing_secondary_event,31,32,15.5,16.0,-0.5
extra_event,3,4,1.5,2.0,-0.5
wrong_count,30,43,15.0,21.5,-6.5
wrong_attribute,37,25,18.5,12.5,+6.0
wrong_temporal_order,3,3,1.5,1.5,+0.0
artifact_noise,25,34,12.5,17.0,-4.5
abrupt_cutoff,6,8,3.0,4.0,-1.0
clipping,0,1,0.0,0.5,-0.5
silence,0,1,0.0,0.5,-0.5
texture_ambiguity,11,16,5.5,8.0,-2.5
other,5,5,2.5,2.5,+0.0
